submission_id,brew_other
OABxLk,NULL
MAd2V0,NULL
8dpbGk,NULL
zKQ8ja,NULL
YZzBLJ,NULL
QABNdl,NULL
8dpbko,NULL
XeB6Ee,NULL
KMBroK,NULL
24x9rg,NULL
dY2JjD,NULL
LdMjyz,NULL
9dJYM1,NULL
kYR4rj,NULL
pLPN7q,Mokapot
pLPN7q,aeropress
6dQ0eO,NULL
42NlLd,NULL
LdMxaj,Clever
BGbJZ4,NULL
J2kER7,Moka pot
eBxgQO,NULL
J2kELz,NULL
LdMjqJ,NULL
oAVNeM,NULL
oAVZ95,NULL
eBxGvE,Aeropress
g5NPYO,NULL
xdNbxo,NULL
zKQ8ZZ,NULL
rlrQxl,NULL
VZ1W8N,NULL
WAp6PN,NULL
DVvo9l,NULL
ylqAdB,NULL
rlrQP2,NULL
EPbo0L,moka pot
ylqAY6,NULL
AlbR7B,NULL
EPbVxA,NULL
BGboo4,NULL
dY2GGD,NULL
oAV8o5,NULL
WApa9N,NULL
BGbJE5,NULL
0EjzA9,NULL
vNx6YX,NULL
WApaAQ,"Immersion (Clever, Aeropress)"
J2krZX,NULL
oAVN6V,NULL
VZ1WVN,NULL
42Nlko,NULL
RzBq4P,Clever
1r2QM4,NULL
LdM4d2,NULL
42N0dB,NULL
jB98M9,NULL
1r205O,NULL
5dq0yE,Aeropress
YZzb4N,NULL
QABq7Y,NULL
PABQDd,NULL
9dJY7E,Aeropress
24xYgM,NULL
KMB25K,NULL
RzBqzP,NULL
GrBEvo,NULL
rlrQrv,NULL
LdMxpz,Clever
ZdRblA,NULL
bl4My7,NULL
XeB72d,NULL
zKQBXq,NULL
rlr9Yv,NULL
dY2GNy,aeropress
zKQA18,Aeropress
ZdRAAV,Clever dripper
VZ17Ev,NULL
NAB2Ab,NULL
rlr9yM,NULL
5dqYbv,NULL
AlbRKW,NULL
ylqb6X,NULL
dY2o6d,NULL
dY2oKz,NULL
oAVN61,NULL
rlr9yv,NULL
kYR4Nr,NULL
zKQ4kq,NULL
RzBeoP,NULL
24xYJL,Aeropress
ZdRAWA,NULL
rlr9OL,NULL
PABQdQ,Drip
1r20NQ,Aeropress
qbEqj2,Aeropress
g5NV9P,NULL
42NY8Y,Aeropress
GrBVJp,NULL
7d90RL,Aeropress
lNl8WV,NULL
vNxaEA,NULL
0EjY5P,NULL
eBxO5q,NULL
blx47Z,NULL
lNlXyB,NULL
1r2Yx4,NULL
1r20WM,Aeropress
J2krad,NULL
DVvo05,NULL
VZ1aJj,NULL
42N0ab,NULL
aBrJxZ,NULL
9dJ0qG,NULL
PABN1x,NULL
8dpDDk,NULL
qA2y0O,NULL
V0ELg6,NULL
zKQ8Qg,NULL
VZ1WYN,NULL
jB98W1,NULL
24x9Rj,NULL
rlr82o,NULL
QABNj7,NULL
vNx8El,NULL
jB98WY,NULL
LdM4Op,NULL
qbE8gG,NULL
bl41zZ,NULL
xdN8yk,NULL
rlr8LX,NULL
jB98ga,NULL
pLPY01,NULL
GrBODO,NULL
7d97a0,NULL
WApale,NULL
0EjqlN,NULL
oAV8dN,NULL
0Ejqaj,NULL
5dqaeZ,NULL
g5N8v4,NULL
oAV8lb,NULL
AlbMyz,NULL
jB9871,NULL
9dJA2E,NULL
PABZBx,NULL
DVvRWR,NULL
dY2JDV,NULL
bl41Y1,NULL
rlr8vR,NULL
xdN89d,NULL
kYR8Jo,NULL
YZz7xW,NULL
RzBq29,NULL
24x9DD,NULL
rlr8k2,NULL
7d97ER,moka pot
GrBOBO,NULL
42NlPr,Immersion (aeropress)
XeB6OP,NULL
VZ1W4y,NULL
kYR8ve,NULL
YZz7oN,NULL
OABxYM,NULL
xdN8lv,NULL
eBxgYk,NULL
RzBqj9,NULL
1r2QGg,NULL
pLPYZJ,NULL
MAdj6k,NULL
OABxER,NULL
BGbJ0K,NULL
qbE8jO,NULL
kYR8ze,NULL
GrBODQ,NULL
vNx8KD,Aero press
oAV8VN,NULL
VZ1Wxg,NULL
24x9Oe,NULL
KMBrO8,NULL
WApa1v,Hario Switch
bl41gL,NULL
EPbovB,NULL
ylq8e8,NULL
24x9ZL,NULL
MAdjGM,NULL
24x9Zj,Aeropress
rlr8kR,NULL
g5N8pl,NULL
rlr8qN,NULL
ylq87g,NULL
GrBO7Z,NULL
NAB2Rj,NULL
RzBqkj,NULL
xdN86r,NULL
9dJArQ,NULL
EPboa4,NULL
WApaQN,NULL
42NlN5,Aeropress
AlbM50,NULL
QABNap,NULL
dY2Jkd,NULL
RzBqr9,NULL
lNl89W,NULL
PABZGB,NULL
RzBqjj,NULL
LdM4ov,Aeropress
GrBO5k,Syphone
ZdRbWo,NULL
AlbMQD,NULL
42NlqX,NULL
24x9D9,NULL
oAV81V,NULL
QABNE7,NULL
6dQ6QN,Aeropress
KMBrkV,NULL
g5N8NJ,NULL
aBrpab,NULL
OABxVR,NULL
aBrpPq,NULL
bl41vZ,NULL
oAV8kO,NULL
qbE8NG,NULL
eBxgoe,NULL
aBrpkB,Cometeer!
vNx8g0,NULL
NAB2Ol,NULL
GrBObk,NULL
kYR8x1,NULL
g5N8z4,NULL
lNl8zv,NULL
jB98z4,NULL
RzBqVj,NULL
BGbJ6Q,NULL
5dqagd,NULL
QABN8Y,NULL
24x9o9,NULL
BGbJ9Q,NULL
PABZrV,NULL
lNl84k,NULL
rlr8YR,Aeropress
rlr8YR,clever
zKQ8L0,NULL
NAB2El,NULL
9dJAMV,NULL
YZz79J,NULL
5dqaod,NULL
GrBOgp,NULL
dY2Jgo,NULL
AlbMAe,NULL
XeB6d4,NULL
QABNX8,NULL
1r2QBp,Aeropress
VZ1WY6,NULL
LdM4Vv,NULL
6dQ6MJ,NULL
oAV8vx,Steep-and-release (Clever dripper)
oAV8vx,Moka Pot (which is not espresso!!)
oAV8gP,NULL
EPboJ2,NULL
MAdjVA,Aeropress
EPboEX,Aeropress
6dQ64k,NULL
NAB240,NULL
pLPYzB,NULL
OABxEg,NULL
NAB2gB,NULL
vNx8vQ,NULL
LdM4yj,NULL
qbE8k9,NULL
qbE8v9,NULL
dY2J8d,NULL
jB98Yx,NULL
rlr8gN,NULL
XeB6Ng,NULL
OABx97,NULL
42NlEX,NULL
LdM4al,NULL
ZdRbDB,NULL
6dQ6Vk,Aeropress
8dpbVx,NULL
6dQ65P,NULL
1r2Q6l,NULL
7d97MR,NULL
ylq8GB,NULL
kYR8p1,NULL
8dpbgx,NULL
VZ1Wqg,NULL
WApaBa,NULL
dY2J1q,NULL
vNx8W0,NULL
5dqaOo,NULL
QABNWp,NULL
ZdRbQo,Aeropress
NAB2yB,NULL
oAV81e,NULL
PABZYx,NULL
PABZWb,NULL
XeB6v4,NULL
9dJAxQ,Aeropress
DVvRE5,NULL
lNl87X,NULL
eBxgye,NULL
aBrpgq,NULL
OABxrR,NULL
WApajv,NULL
1r2QxQ,Areopress
AlbM9z,NULL
8dpbWO,NULL
7d97zA,NULL
24x9zV,NULL
VZ1W9j,NULL
rlr8YN,NULL
xdN80d,NULL
1r2QgW,NULL
EPbo64,NULL
qbE877,aero press
KMBrGV,NULL
6dQ6WY,NULL
EPboA4,NULL
PABZy5,Aeropress
ZdRbgz,NULL
EPbo6r,NULL
6dQ6zB,NULL
LdM4Ey,NULL
ylq8gg,NULL
42NlOY,NULL
MAdjPM,NULL
8dpb5O,Pulsar Immersion Brewer
1r2QRl,NULL
jB985Q,NULL
J2kEBo,NULL
eBxgvk,NULL
7d97jZ,NULL
dY2JzK,NULL
PABZe5,NULL
J2kEGo,Aeropress
ylq8zx,NULL
WApapR,NULL
xdN8z5,NULL
NAB2dj,NULL
ylq81x,NULL
vNx8zD,VacOne
oAV8zP,NULL
QABNkG,NULL
8dpbDA,NULL
YZz760,NULL
PABZqd,NULL
oAV8LX,NULL
XeB6Pd,NULL
AlbMRB,NULL
jB98XR,NULL
NAB2Zb,NULL
aBrpMy,NULL
OABxKK,NULL
pLPYlP,Clever Dripper
EPbooq,NULL
XeB6je,NULL
PABZq0,NULL
GrBOE2,NULL
pLPYYZ,NULL
GrBOVj,NULL
DVvROb,NULL
rlr8Z5,NULL
KMBr2M,Aeropress
kYR8BJ,NULL
aBrpJ9,NULL
bl41a0,NULL
RzBqyp,NULL
1r2Q0M,Aeropress
GrBOO2,NULL
jB98V6,NULL
QABNpg,NULL
DVvR6j,NULL
xdN8q9,NULL
xdN8W9,NULL
9dJAzX,NULL
rlr8ep,NULL
WApa4L,NULL
lNl8pV,NULL
9dJAbX,NULL
zKQ8A1,NULL
QABNP1,NULL
pLPYEE,Aeropress
GrBOMQ,NULL
RzBqpQ,NULL
24x9MM,NULL
7d9rX0,NULL
YZz72z,NULL
42Nl0b,NULL
lNl8JX,NULL
xdN8kd,NULL
VZ1WWE,Aeropress
bl4QV6,NULL
LdM4xG,NULL
VZ1OLj,NULL
KMBrrk,NULL
5dqaWQ,Phin Filter
5dqaWQ,Aeropress
NAB22W,NULL
eBxWZx,NULL
OABxOM,NULL
lNl825,NULL
EPboy2,NULL
LdM48z,NULL
KMBKYX,Aeropress
KMBKYX,Phin
NAB21W,NULL
42NlMo,Aeropress
BGbJv4,NULL
rlr8No,Immersion (Clever or Aeropress)
24xGEe,NULL
lNlkBN,NULL
eBxWae,NULL
WApavR,NULL
1r2o9p,NULL
OABM7R,NULL
aBrqOX,NULL
qbE1GG,NULL
8dp4aP,NULL
0EjR7j,NULL
YZz7EN,Switch
YZz7EN,aeropress
OABxRk,NULL
AlbMgN,Aeropress
lNlk6k,Moka Pot
OABxWM,NULL
xdN5Yy,NULL
AlbMYB,NULL
ylq5Jg,NULL
VZ1WRj,NULL
jB9Ala,Syphon
YZzl4B,NULL
J2kvz4,NULL
oAV8W5,NULL
oAVLGe,NULL
KMBKlA,NULL
6dQEDY,NULL
1r2o7Q,NULL
1r2oVQ,NULL
0EjR8y,NULL
LdMLzp,NULL
LdML7p,NULL
jB9Ab4,NULL
aBrq4B,NULL
DVv6Nq,NULL
DVv6pR,Aeropress
rlrMON,NULL
g5N6Ml,Clever Dripper
NAB1oB,NULL
VZ1Ojy,NULL
dY2exq,NULL
RzByo9,NULL
rlrMoN,NULL
XeBP4g,NULL
DVv6qN,NULL
vNx5P0,Aeropress
6dQEZk,NULL
qbE1d7,NULL
bl4QeL,NULL
PABJ55,NULL
aBrq9b,NULL
LdMLPv,NULL
qbE1VY,Aeropress
oAVLEx,NULL
PABJ1V,NULL
0EjR6N,NULL
BGbW75,NULL
8dp4L5,Aeropress
GrBARZ,aeropress (over ice and hot)
rlrMBR,NULL
J2kEvY,NULL
GrBAve,Aeropress
g5N6qO,NULL
J2kvOo,NULL
GrBAlp,NULL
7d9r2P,NULL
1r2odl,Moka pot
J2kvdR,NULL
jB9APx,NULL
DVv6kZ,NULL
xdN8Ok,NULL
NAB1qO,NULL
GrBA9Z,NULL
bl4Qdg,NULL
5dqPZo,NULL
J2kEyz,NULL
jB98j9,NULL
DVv67R,NULL
QABlV8,NULL
LdMLpj,NULL
42NVrX,NULL
VZ1OpM,Aeropress
42NlWr,NULL
KMBKV8,NULL
aBrq6q,NULL
oAVLeP,NULL
YZzlPW,Aeropress
zKQ5jM,NULL
XeBPJY,NULL
kYRB61,NULL
zKQ5y0,NULL
RzBy5d,Aeropress
ZdRrNy,NULL
6dQE7B,NULL
0EjRey,NULL
QABlDp,NULL
24xGB9,NULL
EPb7QX,NULL
qbE1AY,NULL
RzByD9,NULL
42NVQY,NULL
EPb7XX,Moka Pot
EPb7XX,Aeropress
Albe2z,NULL
PABJ9V,Aeropress
rlrM5R,NULL
kYR8Pj,Aeropress
J2kvqK,I mix it with matcha
J2kv1K,Aeropress
PABJpB,"Immersion (e.g., Hario Switch)"
EPb7l4,NULL
XeBP0j,NULL
vNx5Yv,NULL
NAB1WB,NULL
42NV8k,NULL
VZ1OQg,NULL
LdMLWj,NULL
LdMLKv,NULL
zKQ5Ya,NULL
pLPpoJ,NULL
lNlkqv,NULL
GrBO2O,Aero press
KMBK1A,NULL
dY2e9o,NULL
9dJjQp,Siphon
QABl58,NULL
BGbWk5,NULL
24xGPj,NULL
0EjRdB,NULL
RzByPd,NULL
RzBq9P,NULL
PABJ65,NULL
oAVLRP,Aeropress
24xGPL,NULL
rlr84L,NULL
VZ1O0v,NULL
8dp4xO,NULL
bl4QWL,NULL
qbE1a9,Aeropress
VZ1O5J,NULL
rlrMPl,NULL
EPb7XN,NULL
dY2e0o,Aeropress
lNlkyB,NULL
BGbJo7,NULL
xdN5ay,NULL
GrBAdp,NULL
BGbWxQ,NULL
MAdpzp,NULL
RzBy0J,NULL
PABJ1e,NULL
XeBPWj,Aeropress
g5N6Gl,NULL
jB9AZJ,NULL
g5N6e4,Moka pot
0Ejq9Q,NULL
xdN8EG,NULL
zKQ5Da,Aeropress
xdN5Xv,NULL
24xGAj,clever
lNl8j5,Aeropress
lNl8j5,Moka pot
YZz7Nv,NULL
VZ1OEj,NULL
oAVLAV,NULL
vNx52A,NULL
bl4Qlo,NULL
PABJ0Q,NULL
42NVkO,NULL
9dJjdY,NULL
WApV0J,NULL
1r2oEM,NULL
jB9AME,NULL
GrBAro,NULL
KMBK67,NULL
xdN5QG,NULL
XeBPe4,NULL
8dp4kx,NULL
EPb71N,NULL
qbE1Wd,NULL
eBxWBO,NULL
6dQExe,Immersion Brew
24xGrp,NULL
0EjRbQ,NULL
5dqP2M,NULL
QABlrg,NULL
xdN5Qo,Aeropress
MAdpJg,NULL
vNx5AQ,NULL
YZzldq,NULL
RzByYp,NULL
zKQ5zq,NULL
5dqPkd,NULL
dY2eZN,NULL
1r2ovO,NULL
PABJB0,NULL
AlbeDW,NULL
GrBA1o,NULL
6dQE15,Aeropress
LdMLG1,NULL
LdML0G,Aeropress
zKQ5Kq,Turkish
J2kvJY,NULL
rlrMVM,NULL
DVv6eb,NULL
5dqPdd,NULL
RzByLl,NULL
5dqPvP,NULL
YZzlV0,NULL
vNx54A,NULL
XeBPG4,NULL
jB9ABE,NULL
PABJ8P,NULL
RzBy4J,NULL
jB9AxR,NULL
dY2eYA,NULL
0EjRJ0,NULL
PABJvP,NULL
DVv60p,NULL
rlrMKv,NULL
9dJjJ4,NULL
oAVL0M,NULL
vNx5Od,NULL
QABlYA,NULL
24xGkp,NULL
7d9roL,NULL
lNlkNW,Aeropress
g5N64N,NULL
g5N65d,Clever Dripper
7d9rdA,NULL
lNlkL5,NULL
rlrMKM,NULL
0EjRoQ,NULL
GrBA1j,Aeropress
qbE1b7,NULL
oAVLVM,NULL
RzByRl,NULL
g5N6QK,NULL
GrBAYz,NULL
QABlBk,NULL
vNx5NQ,NULL
6dQEro,NULL
eBxWNo,NULL
NAB1MN,Aeropress
dY2eDy,NULL
MAdpvE,NULL
MAdp5Y,NULL
9dJjE1,NULL
PABJ20,NULL
8dp4eA,NULL
DVv65b,NULL
qbE1o8,NULL
OABMBA,NULL
oAVLlM,NULL
5dqPEb,NULL
6dQEOO,Aeropress
jB9A99,NULL
7d9r46,NULL
qbE1Yk,NULL
pLPpWZ,NULL
VZ1Olv,Aeropress
OABMJp,Aeropress
aBrqry,NULL
7d9r9z,NULL
oAVLl5,NULL
aBrqZW,NULL
lNlk06,NULL
ZdRrGv,Aeropress
xdN5ZG,NULL
lNlkYV,NULL
VZ1OME,Aeropress
rlrMrL,NULL
42NVAd,NULL
jB9AJ1,Aeropress
rlrMr5,NULL
WApVpQ,NULL
ZdRrvA,NULL
8dp4dx,NULL
vNx5JX,Aeropress
zKQ5e1,NULL
lNlkKV,NULL
rlrMJX,NULL
8dp4PY,NULL
LdMLaz,NULL
rlrM0L,NULL
PABJBd,Aeropress
NAB1Rp,NULL
42NV9d,NULL
jB9A76,NULL
OABMLK,NULL
GrBABz,Aeropress
YZzlY6,Aeropress
YZzlo0,NULL
g5N671,NULL
qbE1k5,NULL
7d9r16,NULL
24xGkV,Aeropress
24xGkV,Mocha Pot
BGbWA4,NULL
rlrMJp,Hario switch
bl4Qr2,NULL
aBrqDE,NULL
YZzlrq,NULL
VZ1O9l,NULL
EPb7Lo,NULL
jB9A09,NULL
GrBAL2,NULL
EPb7Z2,NULL
EPb7vA,Moka
42NVPo,NULL
g5N6JM,NULL
9dJj2K,NULL
xdN5Rk,NULL
24xGvA,Aeropress; moka pot
AlbeWo,Hario switch
ZdRrza,NULL
qbE1Ek,NULL
1r2oN4,NULL
VZ1ObN,NULL
24xGxA,NULL
pLPpRy,Aeropress
J2kvk7,NULL
oAVL55,NULL
lNlkWp,NULL
QABl8l,NULL
eBxWxo,NULL
eBxW2E,NULL
rlrMd5,NULL
8dp4Ak,NULL
RzByvv,NULL
rlrM2p,Mokapot
rlrM2p,Aeropress
24xG1g,NULL
EPb7BL,NULL
eBxWKJ,NULL
zKQ5J8,Aero Press
ZdRrZ5,NULL
1r2o2L,NULL
xdN599,Aeropress
xdN599,Hario Switch
YZzlpz,NULL
bl4Q82,NULL
PABJ80,NULL
24xGOb,NULL
5dqPGP,NULL
bl4Q4E,NULL
KMBKBK,Aeropress
DVv6Jj,NULL
eBxW7E,NULL
GrBAoz,NULL
EPb70o,NULL
kYRBJd,NULL
J2kv2d,drip-o-lator
OABMdk,NULL
LdMLvz,NULL
0EjRv0,NULL
VZ1OZv,NULL
5dqPLM,NULL
LdMLXG,NULL
RzByZP,NULL
42NVvB,NULL
GrBAqO,NULL
BGbWj4,NULL
BGbWB7,NULL
ylq5o6,NULL
J2kvLJ,NULL
42NVjb,NULL
bl4Q2E,NULL
5dqPev,NULL
6dQEvO,Aeropress
jB9ALR,Aeropress
9dJjpK,Clever Dripper
LdMLE2,NULL
xdN54E,NULL
J2kvV7,NULL
8dp46k,NULL
1r2oD4,Aeropress
bl4QK0,Mokapot
DVv6AX,NULL
QABlxk,Unimatic (stovetop percolator)
aBrqjy,NULL
XeBP1e,NULL
qbE1P2,NULL
9dJjlG,Aeropress + Prisimo
WApVPJ,NULL
jB9A5Y,Aeropress
OABMjA,NULL
DVv6V5,NULL
XeBPMd,NULL
6dQEAo,NULL
jB9AG9,NULL
pLPpVV,NULL
rlrMYo,Aeropress
5dqPpQ,NULL
rlrMbN,NULL
zKQ51g,NULL
7d9rp2,NULL
5dqPMQ,NULL
9dJjrE,syphon pot
MAdp78,NULL
kYRBpo,NULL
pLPpz1,NULL
KMBKgX,NULL
QABlk1,NULL
XeBPzz,NULL
8dp4gP,NULL
PABJ41,NULL
QABlO1,NULL
RzByjK,NULL
kYRBrr,NULL
PABJGx,NULL
vNx5gl,NULL
eBxWzx,NULL
WApVZe,NULL
Albeae,NULL
lNlkMX,NULL
OABMVa,NULL
XeBP2z,Hario Switch
eBxWpl,NULL
EPb7gB,NULL
RzBy2K,NULL
1r2oBg,NULL
GrBAjZ,NULL
KMBKaD,NULL
ZdRrQV,NULL
1r2oRg,Aeropress
kYRBkZ,NULL
oAVLzb,Aeropress
aBrqzZ,NULL
rlrMvX,NULL
EPb76l,NULL
24xGDM,NULL
7d9rPa,NULL
DVv69R,NULL
42NVdA,NULL
g5N6OP,NULL
J2kvZR,NULL
RzBylj,NULL
qbE1zO,NULL
jB9AEQ,NULL
xdN5ov,NULL
9dJja5,NULL
EPb7N2,NULL
kYRBQe,Aeropress
kYRBQe,Moka Pot
24xGVD,NULL
VZ1O46,NULL
PABJee,NULL
eBxWYQ,Aeropress
qbE1NO,NULL
oAVLaP,NULL
LdMLgl,NULL
ylq5zd,NULL
NAB1EO,NULL
7d9rj0,NULL
ZdRrKB,NULL
xdN56d,Aeropress
rlrMg2,NULL
qbE1pg,NULL
pLPpXJ,NULL
xdN5vk,NULL
vNx5a0,NULL
LdML6J,NULL
bl4QML,NULL
6dQEyJ,NULL
xdN5L5,NULL
OABMra,NULL
jB9AgQ,NULL
EPb7AB,NULL
GrBAQO,NULL
lNlk9v,NULL
eBxWox,NULL
VZ1OyM,NULL
KMBKNV,Aeropress
OABMyY,NULL
WApVjR,NULL
OABMKR,NULL
YZzlyW,NULL
BGbWVK,NULL
XeBPyL,NULL
VZ1OBg,NULL
1r2ox1,NULL
LdMLVl,NULL
oAVLQO,NULL
pLPpNJ,NULL
eBxWPk,NULL
VZ1Oxj,NULL
zKQ54R,NULL
Albeyl,NULL
eBxWyl,NULL
rlrM1R,NULL
24xGZD,NULL
VZ1Oyy,NULL
XeBPdg,Aeropress
rlrMRN,NULL
6dQEGk,NULL
EPb7YB,NULL
7d9rEa,NULL
ylq5Rx,NULL
MAdpgk,NULL
g5N6vJ,NULL
0EjRlB,NULL
9dJjPQ,NULL
AlbeND,Moka Pot
OABMkM,NULL
zKQ5dk,NULL
7d9rgR,NULL
vNx5pl,Aeropress
EPb7e4,NULL
DVv6PZ,NULL
MAdpPk,Aeropress
ylq5rg,NULL
24xG7M,NULL
bl4Qz6,aeropress
6dQE9Y,Aeropress
eBxWvQ,Aeropress
eBxWvQ,every day for years
ZdRrXo,Hario Switch Brewer
24xGy9,NULL
xdN57r,NULL
lNlkXk,NULL
9dJjyV,NULL
RzBy19,NULL
J2kvgK,NULL
J2kvbo,NULL
DVv6ZE,NULL
aBrq1B,NULL
XeBPvY,NULL
ZdRrAo,Aeropress
NAB1O0,NULL
J2kvBr,NULL
ylq5px,NULL
KMBKRg,NULL
OABMyg,NULL
oAVLax,Hario Switch
VZ1OXg,clever dripper
WApVdv,NULL
aBrqXB,NULL
EPb7rr,NULL
NAB1gO,NULL
XeBPkY,NULL
vNx5Wg,AeroPress
LdMLOy,NULL
aBrqa2,NULL
WApVXN,NULL
OABMeg,NULL
NAB1xl,NULL
dY2ekV,NULL
LdMLBv,NULL
Albe0e,Aeropress
eBxW8e,NULL
8dp4V5,NULL
1r2ozp,NULL
DVv6al,NULL
QABl4Y,NULL
DVv6EZ,NULL
J2kvxR,Aeropress
eBxWGe,NULL
KMBKA8,NULL
DVv6Wl,NULL
QABlyG,NULL
pLPp58,NULL
VZ1Oqj,NULL
XeBPNP,NULL
jB9Aq4,NULL
qbE1M9,NULL
5dqPON,Immersion & no bypass
rlrMW2,NULL
dY2ezr,Aeropress
oAVLgb,aeropress
GrBAaZ,NULL
7d9rOZ,NULL
kYRB1e,NULL
24xGzj,NULL
XeBPQP,NULL
9dJj4E,NULL
MAdpqA,NULL
AlbeOz,Moka Pot
NAB1Qj,NULL
GrBA5O,NULL
24xGYj,NULL
kYRBXR,NULL
WApV6N,NULL
dY2eXo,NULL
QABlp7,Aeropress
QABlp7,immersion dripper
ylq5GX,Aeropress
EPb7Al,NULL
42NVEA,NULL
aBrqgb,NULL
42NVYX,NULL
oAVL1x,NULL
KMBKZV,NULL
1r2oyl,NULL
42NVEr,Krups Moka
g5N614,NULL
0EjRyj,NULL
6dQEzJ,NULL
jB9Ara,NULL
dY2e4K,NULL
zKQ5vM,NULL
YZzlgW,NULL
pLPpZ1,NULL
J2kvro,NULL
xdN5B5,NULL
rlrMp2,NULL
QABlWG,NULL
vNx5d4,Moka Pot
jB9AzQ,NULL
MAdp2M,Aeropress
7d9rYZ,Aeropress
g5N6XO,NULL
PABJr1,NULL
RzByg4,Aeropress
MAdpGl,NULL
g5N6rD,NULL
RzByaj,NULL
PABJLV,NULL
GrBA4k,NULL
zKQ5o0,NULL
dY2eyA,NULL
GrBAOp,NULL
qbE1QY,NULL
9dJj0p,NULL
EPb77N,NULL
YZzlbB,NULL
Albeek,NULL
WApV7a,NULL
kYRBPM,NULL
GrBAAo,NULL
rlrMMl,NULL
VZ1Oag,NULL
5dqPa6,NULL
J2kvj4,NULL
XeBPAj,NULL
24xGdL,NULL
qbE117,NULL
42NVVk,NULL
5dqPYo,Hario Switch
J2kv4d,Aeropress
EPb7VX,Aeropress
LdMLxj,NULL
1r2o0Q,NULL
bl4QJo,NULL
42NV6b,NULL
aBrqJv,Aeropress
aBrqJv,moka pot
OABMM7,NULL
42NVMb,NULL
WApVaj,NULL
RzByQ9,NULL
OABMM8,NULL
42NVlk,Moka pot
XeBP6j,NULL
WApVLJ,NULL
eBxWWO,NULL
PABJqb,NULL
6dQEBB,Aeropress
GrBAEp,NULL
xdN5qo,NULL
g5N6VO,NULL
eBxWXO,NULL
KMBKj7,NULL
5dqP06,NULL
zKQ58a,NULL
EPb7RN,NULL
DVv685,NULL
RzByed,Hario Switch
oAVLjV,NULL
dY2ery,NULL
pLPp2b,NULL
QABlN8,NULL
GrBAZj,Aeropress
YZzl75,NULL
ylq58B,NULL
ylq5AB,NULL
AlbeR0,NULL
dY2eoo,Aeropress
YZzlAd,AeroPress
NAB1NB,NULL
aBrqR9,NULL
LdMLr1,NULL
zKQ5k1,Aeropress
42NVbO,NULL
oAVLJ1,NULL
jB9AN6,NULL
qbE1l7,NULL
42NV0X,NULL
7d9rrA,NULL
5dqPNM,NULL
ZdRrbz,Moka
vNx5RA,NULL
0EjRqN,NULL
vNx59Q,NULL
EPb72o,NULL
dY2eJq,NULL
g5N6od,NULL
PABJxb,NULL
6dQEEB,Aeropress
6dQEEB,clever dripper
6dQE6P,Hario Switch
pLPpYq,Aeropress
RzByyJ,NULL
XeBP7g,NULL
rlrM8l,NULL
RzByqd,aeropress
9dJjKY,NULL
RzByNl,NULL
VZ1O7J,Aeropress
vNx5kd,NULL
8dp4DO,Aeropress
7d9rkA,NULL
GrBAAp,NULL
rlrMQN,NULL
GrBAW2,NULL
6dQEqe,NULL
RzBypp,Moka Pot
